ACC:TESTACC,WDTW,TWE,DD_DTW,MSM,BOSS,TSF,SAXVSM,ShapeletTransformClassifier,BOP,FastShapelets,LearnShapelets,DTD_C,MLP,SVML,SVMQ,RotF,Logistic,NN,DTW,ERP,RandF,NN_CID,NB,BayesNet,C45,LCSS
AvgTESTACCOverDsets:,1.0,0.992,0.992,0.952,0.92,0.912,0.872,0.84,0.768,0.752,0.712,0.648,0.64,0.632,0.56,0.552,0.536,0.528,0.52,0.52,0.504,0.488,0.448,0.368,0.336,0.256
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.5,19.5,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,MSM,RotF,WDTW,FastShapelets,DTW,BOSS,LCSS,TSF,NN_CID,LearnShapelets,ERP,SVMQ,RandF,NB,BayesNet,SVML,BOP,NN,MLP,SAXVSM,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-377.595766,-349.748453,-67.693714,-52.9825,-46.076685,-24.991374,-24.815279,-4.761863,-3.510485,-2.675888,-2.015106,-1.8400020000000001,-0.373566,-0.266327,-0.210832,-0.197519,-0.179491,-0.172622,-0.172482,-0.143303,-0.128197,-0.0961,-0.061175,-0.059127,-0.033095,-0.010143
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

