ACC:TESTACC,TSF,BOSS,WDTW,ShapeletTransformClassifier,NN,DTW,ERP,MSM,RandF,NN_CID,RotF,MLP,SVMQ,NB,DD_DTW,BayesNet,SVML,FastShapelets,DTD_C,TWE,BOP,C45,SAXVSM,Logistic,LearnShapelets,LCSS
AvgTESTACCOverDsets:,0.9464285714285714,0.9464285714285714,0.9419642857142857,0.9419642857142857,0.9330357142857143,0.9330357142857143,0.9330357142857143,0.9285714285714286,0.9107142857142857,0.8928571428571429,0.8883928571428571,0.8839285714285714,0.8794642857142857,0.875,0.875,0.8526785714285714,0.8482142857142857,0.8303571428571429,0.7991071428571429,0.7723214285714286,0.7098214285714286,0.6830357142857143,0.6830357142857143,0.6071428571428571,0.5089285714285714,0.026785714285714284
AvgTESTACCRankOverDsets:,1.5,1.5,3.5,3.5,6.0,6.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.5,14.5,16.0,17.0,18.0,19.0,20.0,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,RotF,DTW,ShapeletTransformClassifier,LCSS,BOSS,TSF,LearnShapelets,FastShapelets,NB,MLP,SAXVSM,BOP,ERP,NN,NN_CID,SVMQ,BayesNet,SVML,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-35663.57805,-8351.032327,-2641.021108,-1854.177074,-656.529666,-323.319448,-266.736185,-163.624571,-156.390865,-60.964164,-20.163138,-8.238077,-4.846492,-3.635373,-3.611307,-2.501587,-1.9249,-1.588333,-1.209661,-1.065483,-0.999704,-0.81203,-0.359106,-0.319783,-0.032402,-0.015767
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,BOSS,ShapeletTransformClassifier,RotF,MLP,Logistic,TSF,RandF,C45,SVML,BayesNet,SVMQ,NB,FastShapelets,SAXVSM,BOP,LearnShapelets,NN,NN_CID,DD_DTW,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-1901402.169032,-412324.664636,-223110.698295,-119162.714835,-63342.440376,-37522.971056,-3181.997691,-2071.105644,-1964.529214,-1605.685914,-1340.22139,-669.11844,-5.726359,-3.058045,-1.74614,-1.243027,-0.412423,-0.32061,-0.312392,-0.277398,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,WDTW,C45,BayesNet,TWE,RandF,MSM,BOSS,ShapeletTransformClassifier,SVML,SVMQ,NN,DTW,BOP,SAXVSM,NN_CID,LCSS,DTD_C,DD_DTW,ERP,TSF,Logistic,RotF,MLP,FastShapelets,LearnShapelets
AvgTESTMaxMemoryOverDsets:,0.0,311.0282,396.190152,396.190152,451.425672,470.730912,610.68636,750.744616,783.082008,789.751048,789.751048,805.304016,810.27104,864.17784,864.17784,1027.411712,1044.167056,1046.276768,1052.0148,1054.032408,1080.884176,1151.486656,1151.486656,1151.486656,1445.808672,1445.808672
