ACC:TESTACC,ShapeletTransformClassifier,MSM,TSF,DD_DTW,WDTW,SVMQ,RotF,RandF,NN,DTW,ERP,BOSS,NN_CID,SVML,BayesNet,NB,MLP,LearnShapelets,TWE,DTD_C,C45,BOP,FastShapelets,SAXVSM,Logistic,LCSS
AvgTESTACCOverDsets:,0.78125,0.7678571428571429,0.7678571428571429,0.7410714285714286,0.7321428571428571,0.7276785714285714,0.7232142857142857,0.7053571428571429,0.7053571428571429,0.7008928571428571,0.7008928571428571,0.6964285714285714,0.6741071428571429,0.6651785714285714,0.65625,0.6517857142857143,0.6428571428571429,0.6205357142857143,0.6116071428571429,0.5892857142857143,0.5669642857142857,0.5669642857142857,0.53125,0.49107142857142855,0.4732142857142857,0.008928571428571428
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.0,5.0,6.0,7.0,8.5,8.5,10.5,10.5,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.5,21.5,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,RotF,WDTW,DTW,LCSS,BOSS,FastShapelets,TSF,LearnShapelets,SAXVSM,NB,ERP,SVMQ,NN_CID,MLP,RandF,BOP,NN,BayesNet,SVML,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-5510.383062,-1380.020197,-584.802747,-482.8275,-393.968967,-194.883018,-149.044608,-111.9484,-43.76111,-9.726033,-5.650123,-5.590232,-1.735133,-1.230476,-0.867916,-0.5935,-0.486281,-0.451667,-0.446633,-0.33867,-0.259247,-0.223576,-0.190843,-0.059634,-0.017482,-0.016641
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,Logistic,MLP,RandF,C45,SVML,BayesNet,SVMQ,NB,SAXVSM,BOP,FastShapelets,LearnShapelets,NN_CID,NN,DD_DTW,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-766232.438192,-565347.35175,-123939.190271,-38221.459738,-22176.492245,-22051.206333,-5752.177516,-2890.105342,-2623.456255,-2373.880646,-1752.004237,-1742.869626,-1.600339,-0.598105,-0.563889,-0.47913,-0.228145,-0.222551,-0.194884,-0.156134,1.0,1.0,1.0,1.0,1.0,1.0
