ACC:TESTACC,ShapeletTransformClassifier,TSF,RotF,RandF,DTW,ERP,NN_CID,DD_DTW,WDTW,SVMQ,MSM,NB,MLP,FastShapelets,BOSS,SVML,DTD_C,LearnShapelets,BayesNet,NN,TWE,C45,Logistic,BOP,SAXVSM,LCSS
AvgTESTACCOverDsets:,0.7589285714285714,0.6964285714285714,0.6830357142857143,0.6651785714285714,0.65625,0.6517857142857143,0.6473214285714286,0.6473214285714286,0.6428571428571429,0.6383928571428571,0.6383928571428571,0.6205357142857143,0.6205357142857143,0.6205357142857143,0.6205357142857143,0.6116071428571429,0.6071428571428571,0.59375,0.5892857142857143,0.5669642857142857,0.5133928571428571,0.5089285714285714,0.48660714285714285,0.48214285714285715,0.4419642857142857,0.04017857142857143
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.5,7.5,9.0,10.5,10.5,13.5,13.5,13.5,13.5,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,ShapeletTransformClassifier,MSM,RotF,WDTW,DTW,LCSS,TSF,FastShapelets,BOSS,LearnShapelets,SVMQ,SAXVSM,NB,BOP,NN,ERP,MLP,NN_CID,BayesNet,SVML,RandF,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-4065.428275,-713.915981,-278.095404,-199.717341,-176.358838,-90.723254,-79.175662,-45.415773,-26.104183,-5.224269,-4.342587,-4.019556,-1.950383,-1.058281,-0.972309,-0.916218,-0.857076,-0.53594,-0.5029,-0.447693,-0.392725,-0.239394,-0.220278,-0.132828,-0.023087,-0.016528
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,MLP,Logistic,RandF,SVMQ,SVML,C45,BayesNet,NB,SAXVSM,FastShapelets,BOP,NN,LearnShapelets,NN_CID,DD_DTW,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-1034076.734116,-779070.288536,-78740.392802,-25699.532056,-12845.289855,-9186.59966,-4292.190083,-955.632849,-941.301249,-859.274741,-842.981962,-407.554444,-1.415927,-0.346137,-0.254607,-0.23771,-0.229712,-0.19572,-0.191766,-0.183776,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,DTD_C,WDTW,C45,BayesNet,TWE,DTW,NN,MSM,SVML,SVMQ,LCSS,NN_CID,Logistic,RandF,MLP,DD_DTW,ERP,LearnShapelets,RotF,TSF,FastShapelets,BOSS,ShapeletTransformClassifier,BOP,SAXVSM
AvgTESTMaxMemoryOverDsets:,0.0,0.0,59.25548,63.44088,63.44088,87.159784,96.032704,97.35728,113.248024,126.559768,126.559768,146.197624,147.584664,172.628144,172.628144,172.628144,176.914064,180.278464,196.540536,373.118936,426.206552,426.206552,782.575784,874.417208,874.417208,874.417208
AvgTESTMaxMemoryRankOverDsets:,1.5,1.5,3.0,4.5,4.5,6.0,7.0,8.0,9.0,10.5,10.5,12.0,13.0,15.0,15.0,15.0,17.0,18.0,19.0,20.0,21.5,21.5,23.0,25.0,25.0,25.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,Logistic,C45,RandF,SVML,BayesNet,NN_CID,MLP,ERP,NN,BOP,NB,SAXVSM,SVMQ,LearnShapelets,BOSS,FastShapelets,TSF,LCSS,DTW,WDTW,RotF,MSM,ShapeletTransformClassifier,TWE,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.016528,0.023087,0.132828,0.220278,0.239394,0.392725,0.447693,0.5029,0.53594,0.857076,0.916218,0.972309,1.058281,1.950383,4.019556,4.342587,5.224269,26.104183,45.415773,79.175662,90.723254,176.358838,199.717341,278.095404,713.915981,4065.428275
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

