ACC:TESTACC,ShapeletTransformClassifier,RotF,DTW,ERP,BOSS,NN,MSM,BOP,SAXVSM,TSF,NN_CID,DTD_C,FastShapelets,RandF,SVMQ,WDTW,TWE,BayesNet,SVML,DD_DTW,MLP,C45,LCSS,LearnShapelets,Logistic,NB
AvgTESTACCOverDsets:,1.0,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9833333333333333,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9722222222222222,0.9666666666666667,0.9666666666666667,0.9388888888888889,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9222222222222223,0.9111111111111111,0.8944444444444445,0.8722222222222222,0.8666666666666667,0.6777777777777778
AvgTESTACCRankOverDsets:,1.0,3.5,3.5,3.5,3.5,7.5,7.5,7.5,7.5,10.0,12.0,12.0,12.0,14.0,15.5,15.5,17.0,19.0,19.0,19.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,BOSS,TWE,RotF,MSM,WDTW,DTW,LCSS,TSF,FastShapelets,NN_CID,ERP,SAXVSM,BOP,NB,LearnShapelets,RandF,BayesNet,MLP,NN,SVMQ,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-691.514907,-328.929061,-142.224721,-66.088969,-45.640412,-30.147865,-25.601283,-20.130033,-13.252851,-3.570822,-1.8959570000000001,-1.286645,-0.628318,-0.342852,-0.134189,-0.120737,-0.11918,-0.117372,-0.113435,-0.088027,-0.083831,-0.070557,-0.043149,-0.033204,-0.015301,-0.002685
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
