ACC:TESTACC,MSM,WDTW,TSF,DD_DTW,BOSS,DTW,ERP,NN,NN_CID,ShapeletTransformClassifier,RotF,DTD_C,BOP,SVMQ,RandF,TWE,MLP,NB,SVML,FastShapelets,SAXVSM,LearnShapelets,Logistic,C45,BayesNet,LCSS
AvgTESTACCOverDsets:,0.7445255474452555,0.656934306569343,0.6277372262773723,0.6204379562043796,0.6204379562043796,0.6131386861313869,0.6131386861313869,0.6058394160583942,0.5912408759124088,0.5620437956204379,0.5401459854014599,0.5401459854014599,0.5401459854014599,0.5182481751824818,0.5109489051094891,0.49635036496350365,0.4744525547445255,0.46715328467153283,0.46715328467153283,0.44525547445255476,0.44525547445255476,0.40875912408759124,0.38686131386861317,0.30656934306569344,0.21897810218978103,0.0364963503649635
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.5,6.5,8.0,9.0,10.0,12.0,12.0,12.0,14.0,15.0,16.0,17.0,18.5,18.5,20.5,20.5,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,RotF,WDTW,DTW,LCSS,FastShapelets,LearnShapelets,BOSS,TSF,SVMQ,NB,SVML,BayesNet,SAXVSM,BOP,MLP,ERP,RandF,NN_CID,NN,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1667.881101,-256.299613,-181.177986,-128.009049,-85.71066,-84.535188,-38.415288,-16.71052,-7.767777,-5.768591,-4.837754,-4.34379,-3.914533,-2.765755,-1.915923,-1.064988,-0.711048,-0.54916,-0.413868,-0.359263,-0.341673,-0.291547,-0.234605,-0.172087,-0.060167,-0.059691
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,Logistic,TSF,MLP,SVML,RandF,SVMQ,C45,BayesNet,NB,NN_CID,LearnShapelets,SAXVSM,NN,FastShapelets,DD_DTW,DTD_C,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-445315.872759,-62770.585784,-62158.447539,-56467.689873,-29143.208995,-6937.529245,-3086.712641,-2991.608516,-2013.083835,-1788.06398,-1583.049433,-1152.71554,-9.234108,-2.710226,-0.26528,-0.252274,-0.131409,-0.127677,-0.108286,-0.073327,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,DTW,TWE,LCSS,BOP,BOSS,TSF,C45,BayesNet,RandF,FastShapelets,DD_DTW,NN,WDTW,MSM,SVML,SVMQ,NN_CID,ERP,DTD_C,LearnShapelets,ShapeletTransformClassifier,SAXVSM,MLP,Logistic,RotF
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,114.268616,119.558344,347.439528,359.5582,359.5582,404.16932,423.738368,523.303528,740.473024,744.36812,774.562992,833.658304,833.658304,851.512208,859.831976,864.843488,941.219328,941.219328,941.219328,1068.98376,1256.389824,1256.389824
AvgTESTMaxMemoryRankOverDsets:,2.5,2.5,2.5,2.5,5.0,6.0,7.0,8.5,8.5,10.0,11.0,12.0,13.0,14.0,15.0,16.5,16.5,18.0,19.0,20.0,22.0,22.0,22.0,24.0,25.5,25.5
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
