ACC:TESTACC,BOSS,ShapeletTransformClassifier,MSM,SAXVSM,TSF,WDTW,LearnShapelets,BOP,RandF,DD_DTW,FastShapelets,DTD_C,RotF,TWE,NN_CID,NN,BayesNet,LCSS,C45,DTW,ERP,SVMQ,Logistic,SVML,MLP,NB
AvgTESTACCOverDsets:,0.6582278481012658,0.620253164556962,0.5949367088607594,0.569620253164557,0.5569620253164557,0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5063291139240507,0.4810126582278481,0.4810126582278481,0.46835443037974683,0.45569620253164556,0.45569620253164556,0.45569620253164556,0.4430379746835443,0.43037974683544306,0.379746835443038,0.35443037974683544,0.3291139240506329,0.3291139240506329,0.31645569620253167,0.2911392405063291,0.27848101265822783,0.24050632911392406,0.21518987341772153
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,7.0,7.0,7.0,9.0,10.5,10.5,12.0,14.0,14.0,14.0,16.0,17.0,18.0,19.0,20.5,20.5,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,MSM,TWE,RotF,WDTW,ShapeletTransformClassifier,DTW,LCSS,BOSS,TSF,LearnShapelets,FastShapelets,MLP,SAXVSM,BOP,NB,ERP,BayesNet,NN,NN_CID,SVMQ,SVML,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-12494.121257,-2015.072306,-806.856674,-722.401617,-297.021834,-286.972291,-154.061993,-121.811963,-45.242186,-33.818767,-16.025278,-5.422829,-3.906981,-3.449798,-1.9620579999999999,-1.635027,-0.917347,-0.655785,-0.65067,-0.590397,-0.476387,-0.466401,-0.178822,-0.128936,-0.024483,-0.008038
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
