ACC:TESTACC,TSF,RotF,ShapeletTransformClassifier,BOSS,RandF,MSM,NN_CID,NN,DTW,ERP,SVMQ,WDTW,BOP,DD_DTW,DTD_C,TWE,SAXVSM,C45,MLP,FastShapelets,SVML,Logistic,LCSS,NB,BayesNet,LearnShapelets
AvgTESTACCOverDsets:,0.9036144578313253,0.8855421686746988,0.8795180722891566,0.8795180722891566,0.8554216867469879,0.8554216867469879,0.8493975903614458,0.8433734939759037,0.8433734939759037,0.8373493975903614,0.8253012048192772,0.8192771084337349,0.8072289156626506,0.8012048192771084,0.7951807228915663,0.7891566265060241,0.7590361445783133,0.7289156626506024,0.7048192771084337,0.7048192771084337,0.6867469879518072,0.6204819277108434,0.5180722891566265,0.5120481927710844,0.5060240963855421,0.5060240963855421
AvgTESTACCRankOverDsets:,1.0,2.0,3.5,3.5,5.5,5.5,7.0,8.5,8.5,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.5,19.5,21.0,22.0,23.0,24.0,25.5,25.5
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,ShapeletTransformClassifier,MSM,RotF,WDTW,DTW,BOSS,LCSS,TSF,FastShapelets,BOP,MLP,ERP,SAXVSM,NN_CID,LearnShapelets,NB,BayesNet,NN,RandF,Logistic,SVML,SVMQ,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-5063.96275,-1119.683731,-656.823753,-324.130495,-188.899821,-180.642034,-93.399912,-87.5832,-47.240309,-33.385162,-6.875827,-5.023618,-0.888059,-0.87612,-0.750812,-0.603118,-0.505043,-0.391079,-0.361413,-0.268336,-0.148458,-0.10551,-0.081078,-0.06179,-0.052227,-0.006545
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,MLP,TSF,RandF,Logistic,SVMQ,C45,BayesNet,NB,SVML,NN_CID,SAXVSM,NN,FastShapelets,DD_DTW,BOP,DTD_C,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-469890.619121,-211549.742022,-62168.936444,-20903.607047,-12296.656289,-2140.994711,-2011.285928,-1957.63845,-1749.378825,-1738.244156,-1271.080704,-548.950201,-0.281948,-0.277661,-0.270372,-0.257335,-0.215894,-0.175421,-0.164158,-0.050194,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,DTW,MSM,NN_CID,LCSS,DD_DTW,C45,BayesNet,Logistic,NN,WDTW,SVML,SVMQ,RandF,LearnShapelets,FastShapelets,BOP,TWE,MLP,ERP,DTD_C,RotF,TSF,ShapeletTransformClassifier,SAXVSM,BOSS
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,0.0,26.83872,26.83872,28.499912,45.554168,52.751256,52.868048,62.713928,62.713928,100.558224,152.63488,152.63488,159.782984,171.241392,231.755704,450.937816,480.134472,496.363016,1081.130176,1081.130176,1081.130176
